t,u1,u2,u3
4.4144144,0.712415,0.10687808,1.2450746
4.4244246,0.7136206,0.11537162,1.2430276
4.4344344,0.71488446,0.123872556,1.2408499
4.4444447,0.71620584,0.1323829,1.2385406
4.4544544,0.7175834,0.14090052,1.2360994
4.4644647,0.7190164,0.14942577,1.2335261
4.4744744,0.7205031,0.15795782,1.2308196
4.4844847,0.7220427,0.16649607,1.2279798
4.4944944,0.7236341,0.17504004,1.2250053
4.5045047,0.725276,0.18358949,1.2218962
4.5145144,0.72696716,0.19214264,1.218651
4.5245247,0.72870654,0.20070079,1.2152698
4.5345345,0.73049223,0.20926097,1.2117506
4.5445447,0.7323243,0.21782437,1.208094
4.5545545,0.7342003,0.22638884,1.2042989
4.5645647,0.7361195,0.23495498,1.2003627
4.5745745,0.7380802,0.24351993,1.1962875
4.5845847,0.74008197,0.25208476,1.1920705
4.5945945,0.74212223,0.26064745,1.1877117
4.6046047,0.7442007,0.26920715,1.1832086
4.6146145,0.7463152,0.27776304,1.1785628
4.6246247,0.74846554,0.28631416,1.173771
4.6346345,0.7506491,0.29485956,1.168834
4.6446447,0.75286543,0.30339757,1.1637497
4.6546545,0.7551129,0.31192783,1.1585172
4.6646647,0.7573899,0.32044843,1.1531368
4.6746745,0.75969535,0.32895902,1.1476067
4.6846848,0.76202786,0.3374577,1.1419252
4.6946945,0.76438576,0.34594348,1.1360918
4.7047048,0.76676786,0.35441485,1.1301066
4.7147145,0.76917285,0.36287037,1.1239673
4.724725,0.77159923,0.3713099,1.1176729
4.7347345,0.7740452,0.37972978,1.1112245
4.744745,0.7765104,0.3881314,1.1046182
4.7547545,0.7789927,0.3965105,1.0978554
4.764765,0.7814906,0.40486827,1.0909342
4.7747746,0.784003,0.41320136,1.0838543
4.784785,0.78652847,0.42150918,1.0766134
4.7947946,0.78906536,0.4297897,1.0692128
4.804805,0.79161274,0.43804124,1.0616506
4.814815,0.79416895,0.44626346,1.0539247
4.824825,0.79673284,0.45445278,1.0460377
4.834835,0.7993024,0.46260944,1.0379857
4.844845,0.80187696,0.47073033,1.0297699
4.854855,0.80445474,0.478815,1.021389
4.864865,0.8070343,0.4868602,1.0128425
4.874875,0.8096149,0.49486533,1.0041295
4.884885,0.8121944,0.5028289,0.99525
4.894895,0.81477207,0.5107487,0.9862038
4.904905,0.8173461,0.5186223,0.97698987
4.914915,0.81991565,0.5264492,0.9676079
4.924925,0.82247853,0.5342259,0.9580581
4.934935,0.82503444,0.541952,0.9483405
4.944945,0.8275814,0.54962474,0.93845445
4.954955,0.8301187,0.55724376,0.92839867
4.964965,0.8326446,0.564805,0.918176
4.974975,0.8351574,0.57230806,0.9077842
4.984985,0.8376567,0.5797504,0.8972252
4.994995,0.8401408,0.5871302,0.8864966
5.005005,0.8426082,0.5944448,0.87560105
5.015015,0.8450586,0.60169435,0.86453795
5.025025,0.8474896,0.60887396,0.8533085
5.035035,0.8499009,0.6159838,0.84191173
5.045045,0.8522903,0.6230207,0.8303511
5.055055,0.8546577,0.6299831,0.81862384
5.065065,0.85700107,0.63686854,0.8067329
5.075075,0.8593198,0.6436761,0.7946791
5.085085,0.8616126,0.6504021,0.7824628
5.095095,0.8638783,0.65704584,0.77008444
5.105105,0.86611545,0.6636043,0.7575472
5.115115,0.8683233,0.670076,0.7448506
5.125125,0.87050045,0.6764582,0.7319973
5.135135,0.87264645,0.68274885,0.7189875
5.145145,0.8747598,0.688947,0.7058241
5.155155,0.8768395,0.6950497,0.69250745
5.165165,0.878884,0.70105445,0.67904097
5.175175,0.8808931,0.7069599,0.66542417
5.185185,0.88286567,0.7127624,0.6516618
5.195195,0.88480026,0.7184627,0.6377534
5.2052054,0.8866963,0.7240565,0.6237026
5.215215,0.8885525,0.72954184,0.60951287
5.2252254,0.89036846,0.7349174,0.5951827
5.235235,0.8921429,0.7401805,0.5807187
5.2452455,0.89387506,0.74532974,0.5661213
5.255255,0.89556414,0.75036246,0.5513937
5.2652655,0.89720905,0.7552774,0.53653914
5.275275,0.89880943,0.76007146,0.52155966
5.2852855,0.9003638,0.7647432,0.50645775
5.2952952,0.9018718,0.76929116,0.49123842
5.3053055,0.9033332,0.7737121,0.47590238
5.3153152,0.9047468,0.7780057,0.460455
5.3253255,0.9061115,0.7821693,0.4448983
5.3353353,0.9074272,0.7862011,0.4292373
5.3453455,0.9086929,0.79009885,0.41347295
5.3553553,0.90990883,0.79386127,0.39761084
5.3653655,0.9110734,0.7974867,0.3816535
5.3753753,0.91218644,0.8009731,0.36560458
5.3853855,0.9132477,0.8043194,0.34946877
5.3953953,0.9142563,0.8075229,0.33324915
5.4054055,0.9152119,0.81058294,0.31695014
5.4154153,0.9161146,0.8134982,0.30057544
5.4254255,0.9169626,0.81626636,0.284128
5.4354353,0.9177573,0.8188867,0.2676142
5.4454455,0.91849726,0.82135725,0.25103658
5.4554553,0.9191821,0.8236769,0.23439975
5.4654655,0.9198125,0.8258452,0.21770675
5.4754753,0.9203873,0.82785964,0.20096381
5.4854856,0.92090684,0.8297205,0.18417366
5.4954953,0.9213708,0.8314258,0.16734202
5.5055056,0.92177904,0.832975,0.15047152
5.5155153,0.922132,0.83436644,0.13356717
5.5255256,0.92242897,0.8356011,0.11663337
5.5355353,0.92267,0.8366761,0.09967537
5.5455456,0.9228551,0.8375927,0.08269508
5.5555553,0.9229848,0.8383491,0.06570096
5.5655656,0.92305887,0.83894426,0.0486923
5.5755754,0.92307746,0.8393799,0.031678513
5.5855856,0.92304087,0.8396536,0.014659002
5.5955954,0.9229492,0.8397658,-0.00235717
5.6056056,0.9228029,0.8397164,-0.019369528
5.615616,0.9226019,0.8395051,-0.036371276
5.6256256,0.9223473,0.8391325,-0.053358838
5.635636,0.92203814,0.83859766,-0.07032828
5.6456456,0.92167646,0.8379019,-0.087274
5.655656,0.9212614,0.8370445,-0.10419397
5.6656656,0.92079425,0.83602643,-0.12108223
